pop_year,Year,Population_Code,DateOfCollection,Julian,DayNo,Sample_ID,Population,Family,Replicate,Region,Latitude,Longitude,Elev_m,SeedArea,SeedWidth_mm,Seed_length_mm,SeedShapeIndex,Dispersal_length_mm,Dispersal_and_seed_mm,Weight_Tot,Weight_S,Weight_D,DD5_TOT
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-2,,12,2,Alvar,NA,NA,NA,2.048,1.069,2.648,2.477,28.25,30.898,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-3,,12,3,Alvar,NA,NA,NA,1.907,1.16,2.561,2.208,43.149,45.71,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-4,,12,4,Alvar,NA,NA,NA,1.943,1.121,2.506,2.236,34.487,36.993,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-5,,12,5,Alvar,NA,NA,NA,1.84,1.049,2.471,2.356,35.869,38.34,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-1,,28,1,Alvar,NA,NA,NA,2.196,1.196,2.61,2.182,37.399,40.009,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-2,,28,2,Alvar,NA,NA,NA,1.198,0.717,2.428,3.386,28.442,30.87,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-3,,28,3,Alvar,NA,NA,NA,2.365,1.196,2.726,2.279,37.778,40.504,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-4,,28,4,Alvar,NA,NA,NA,2.037,1.021,2.613,2.559,36.351,38.964,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-5,,28,5,Alvar,NA,NA,NA,1.861,1.08,2.49,2.306,30.401,32.891,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-1,,35,1,Alvar,NA,NA,NA,1.575,0.899,2.311,2.571,26.161,28.472,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-2,,35,2,Alvar,NA,NA,NA,1.531,0.951,2.171,2.283,26.734,28.905,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-3,,35,3,Alvar,NA,NA,NA,1.49,0.874,2.332,2.668,28.114,30.446,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-4,,35,4,Alvar,NA,NA,NA,1.814,0.979,2.282,2.331,30.578,32.86,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-5,,35,5,Alvar,NA,NA,NA,1.961,1.047,2.654,2.535,33.409,36.063,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-4,,28,4,Alvar,NA,NA,NA,2.037,1.021,2.613,2.559,36.351,38.964,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-5,,28,5,Alvar,NA,NA,NA,1.861,1.08,2.49,2.306,30.401,32.891,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-1,,35,1,Alvar,NA,NA,NA,1.575,0.899,2.311,2.571,26.161,28.472,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-2,,35,2,Alvar,NA,NA,NA,1.531,0.951,2.171,2.283,26.734,28.905,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-35-3,,35,3,Alvar,NA,NA,NA,1.49,0.874,2.332,2.668,28.114,30.446,0.0048,0.0028,0.002,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-1,,12,1,Alvar,NA,NA,NA,2.338,1.115,2.761,2.476,24.652,27.413,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-2,,12,2,Alvar,NA,NA,NA,2.048,1.069,2.648,2.477,28.25,30.898,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-3,,12,3,Alvar,NA,NA,NA,1.907,1.16,2.561,2.208,43.149,45.71,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-4,,12,4,Alvar,NA,NA,NA,1.943,1.121,2.506,2.236,34.487,36.993,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-12-5,,12,5,Alvar,NA,NA,NA,1.84,1.049,2.471,2.356,35.869,38.34,0.0054,0.0026,0.0028,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-1,,28,1,Alvar,NA,NA,NA,2.196,1.196,2.61,2.182,37.399,40.009,0.0052,0.003,0.0022,1530
2015_MB-MR,2015,MB-MR,7/2/15,NA,NA,MB-MR-28-2,,28,2,Alvar,NA,NA,NA,1.198,0.717,2.428,3.386,28.442,30.87,0.0052,0.003,0.0022,1530
