Herbarium,Region,collection_no,height_cm
Canadian_Museum_of_Nature,Alvar,300837,32.743
Canadian_Museum_of_Nature,Alvar,300839,27.695
Canadian_Museum_of_Nature,Alvar,326367,32.324
Canadian_Museum_of_Nature,Alvar,389207,18.752
Canadian_Museum_of_Nature,Alvar,435314,29.406
Canadian_Museum_of_Nature,Alvar,458824,25.152
Canadian_Museum_of_Nature,Alvar,521735,22.974
Canadian_Museum_of_Nature,Alvar,557583,26.764
Canadian_Museum_of_Nature,Alvar,559318,28.73
University_of_Minnesota,Prairie,128069,27.68
University_of_Minnesota,Prairie,128070,31.877
University_of_Minnesota,Prairie,128073,30.623
University_of_Minnesota,Prairie,128085,26.508
University_of_Minnesota,Prairie,128089,27.795
University_of_Minnesota,Prairie,128098,28.062
University_of_Minnesota,Prairie,228304,35.836
University_of_Minnesota,Prairie,367856,26.234
University_of_Minnesota,Prairie,369830,36.766
University_of_Minnesota,Prairie,370315,33.987
University_of_Minnesota,Prairie,371176,32.27
University_of_Minnesota,Prairie,371227,25
University_of_Minnesota,Prairie,372841,28.103
University_of_Minnesota,Prairie,383198,24.569
University_of_Minnesota,Prairie,383202,30.327
University_of_Minnesota,Prairie,436975,13.351
University_of_Minnesota,Prairie,437282,26.661
University_of_Minnesota,Prairie,446600,21.939
University_of_Minnesota,Prairie,448451,26.681
University_of_Minnesota,Prairie,448853,19.412
University_of_Minnesota,Prairie,459256,25.45
University_of_Minnesota,Prairie,501138,34.899
University_of_Minnesota,Prairie,539907,28.316
University_of_Minnesota,Prairie,553767,32.96
University_of_Minnesota,Prairie,554335,24.492
University_of_Minnesota,Prairie,573971,30.787
University_of_Minnesota,Prairie,585389,32.674
University_of_Minnesota,Prairie,588528,27.31
University_of_Minnesota,Prairie,590030,43.509
University_of_Minnesota,Prairie,592069,41.901
University_of_Minnesota,Prairie,592191,29.41
University_of_Minnesota,Prairie,669732,38.399
University_of_Minnesota,Prairie,690042,26.527
University_of_Minnesota,Prairie,693918,29.934
University_of_Minnesota,Prairie,701105,23.208
University_of_Minnesota,Prairie,706801,29.795
University_of_Minnesota,Prairie,721466,35.863
University_of_Minnesota,Prairie,753417,24.732
University_of_Minnesota,Prairie,753421,23.375
University_of_Minnesota,Prairie,753427,33.954
University_of_Minnesota,Prairie,762752,24.18
University_of_Minnesota,Prairie,781567,30.326
University_of_Minnesota,Prairie,781596,37.23
University_of_Minnesota,Prairie,804617,40.746
University_of_Minnesota,Prairie,804625,44.177
University_of_Minnesota,Prairie,806894,25.583
University_of_Minnesota,Prairie,807164,23.589
University_of_Minnesota,Prairie,807191,29.687
University_of_Minnesota,Prairie,816149,23.986
University_of_Minnesota,Prairie,828308,22.857
University_of_Minnesota,Prairie,921821,24.277
University_of_Minnesota,Prairie,1280061,24.262
Dept.Ag.Ontario_DAO,Alvar,01-01001067740,38.914
Dept.Ag.Ontario_DAO,Alvar,01-01001067744,35
Dept.Ag.Ontario_DAO,Alvar,01-01001067745,30.161
Dept.Ag.Ontario_DAO,Alvar,01-01001067747,28.2
Dept.Ag.Ontario_DAO,Alvar,01-01001067748,35.433
Dept.Ag.Ontario_DAO,Alvar,01-01001067750,27.522
Dept.Ag.Ontario_DAO,Alvar,01-01001067756,24.131
Dept.Ag.Ontario_DAO,Alvar,01-01001067758,25.217
Umanitoba,Prairie,63436,21.3
Umanitoba,Prairie,54359,21.5
Umanitoba,Prairie,10873,21.8
Umanitoba,Alvar,68652,23
Umanitoba,Prairie,52222,24.2
Umanitoba,Prairie,75501,26.7
Umanitoba,Prairie,51568,27.1
Umanitoba,Prairie,57592,27.3
Umanitoba,Prairie,70385,31.4
Umanitoba,Prairie,44441,32.2
Umanitoba,Prairie,24875,33.9
Umanitoba,Prairie,58663,34.2
Umanitoba,Prairie,25615,34.3
Umanitoba,Prairie,27929,35
Umanitoba,Prairie,39478,42.9
Umanitoba,Prairie,13103,44.5
