"pop_year","Year","Population","Sample_ID","Family","Test","repnum","ndrop","tv","id","Region","State_Prov","Code","DateOfCollection","Latitude.x","Longitude.x","Elevation_m","X","Population_Code","ID2","Latitude.y","Longitude.y","Elevation","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Rad01","Rad02","Rad03","Rad04","Rad05","Rad06","Rad07","Rad08","Rad09","Rad10","Rad11","Rad12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD5_TOT","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH"
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-12",12,"0",3,1,1.149193548,"AB-HSC-12_3","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-9",9,"0",2,1,1.106796117,"AB-HSC-9_2","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-9",9,"0",3,3,1.194968553,"AB-HSC-9_3","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-12",12,"0",5,1,0.857142857,"AB-HSC-12_5","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-9",9,"0",1,2,1.106796117,"AB-HSC-9_1","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-1",1,"0",1,3,1.194968553,"AB-HSC-1_1","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-1",1,"0",2,1,0.857142857,"AB-HSC-1_2","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-20",20,"0",4,1,0.858433735,"AB-HSC-20_4","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-1",1,"0",3,1,1.484375,"AB-HSC-1_3","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
"2015_AB-HSC",2015,"AB-HSC","AB-HSC-20",20,"0",1,1,1.069418386,"AB-HSC-20_1","Prairie","AB","HSC","6/21/15",49.636389,-110.33,721,"","AB-HSC","a",49.636389,-110.330002,721,-0.2,1.2,9.7,12,17.5,25.4,26.1,26.1,19.4,14.3,2.2,-1.4,-11.5,-10.5,-4,-3.5,1.1,7.3,8.4,7.6,3.5,0.3,-8.4,-10.4,-5.8,-4.7,2.9,4.3,9.3,16.3,17.2,16.8,11.4,7.3,-3.1,-5.9,32,12,14,20,44,22,78,18,50,32,22,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,201,153,31,14,1,0,0,0,0,4,128,201,3,5,41,47,142,340,380,368,198,98,6,3,1631,740,630,471,413,270,74,49,62,198,333,632,738,0,0,0,1,3,24,26,25,5,1,0,0,1,1,5,5,18,29,31,30,24,16,1,1,24,10,3,4,2,0,0,0,2,1,14,17,0,0,44,67,106,147,148,128,72,40,0,0,0,0,30,47,63,125,70,110,22,7,0,0,54,54,53,49,50,48,49,47,52,56,58,61,0.1,13.1,25.9,12,-10.6,-2.1,7.8,-1.5,-5.3,5.5,16.8,5.2,64,78,118,104,-9999,-9999,-9999,-9999,555,45,0,133,12,230,1087,302,2108,1154,185,1162,0,4,75,6,2,28,90,41,49,8,0,16,0,217,423,112,0,140,305,29,57,51,48,55,5.5,17.2,-5.9,23.2,365,212,42.4,81.3,733,1631,4609,85,161,168,255,87,87,-40.2,37.1,752,474,-9999,53
