date,measurement,value,year
6/4/18,avg wind,6,2018
6/7/18,avg wind,6,2018
6/12/18,avg wind,6,2018
6/14/18,avg wind,11,2018
6/18/18,avg wind,6,2018
6/21/18,avg wind,2,2018
6/25/18,avg wind,12,2018
6/1/17,avg wind,5,2017
6/5/17,avg wind,6,2017
6/8/17,avg wind,2,2017
6/12/17,avg wind,3,2017
6/15/17,avg wind,5,2017
6/19/17,avg wind,7,2017
6/22/17,avg wind,1,2017
6/26/17,avg wind,4,2017
6/29/17,avg wind,6,2017
6/4/18,high wind,11,2018
6/7/18,high wind,11,2018
6/12/18,high wind,10,2018
6/14/18,high wind,10,2018
6/18/18,high wind,9,2018
6/21/18,high wind,6,2018
6/25/18,high wind,6,2018
6/1/17,high wind,9,2017
6/5/17,high wind,8,2017
6/8/17,high wind,7,2017
6/12/17,high wind,7,2017
6/15/17,high wind,10,2017
6/19/17,high wind,8,2017
6/22/17,high wind,5,2017
6/26/17,high wind,8,2017
6/29/17,high wind,9,2017
